Audiobook name,Review Date,Rating,Transaction ID
Audiobook #5,31/01/18,10,1525960
Audiobook #5,31/01/18,10,1289530
Audiobook #4,31/01/18,10,1243710
Audiobook #7,31/01/18,10,1308310
Audiobook #3,31/01/18,10,1339880
Audiobook #6,31/01/18,10,1362420
Audiobook #3,31/01/18,10,1291460
Audiobook #2,31/01/18,10,1250940
Audiobook #10,31/01/18,10,1442360
Audiobook #8,31/01/18,10,1496140
Audiobook #2,31/01/18,10,2394011
Audiobook #6,31/01/18,9,1161711
Audiobook #4,31/01/18,10,1255911
Audiobook #6,31/01/18,10,1257430
Other,31/01/18,10,1262511
Audiobook #4,31/01/18,9,1259111
Other,31/01/18,10,1443630
Other,31/01/18,10,2271310
Other,31/01/18,8,1324120
Audiobook #3,31/01/18,9,1308650
Other,31/01/18,8,9912410
Other,31/01/18,9,2121420
Audiobook #3,31/01/18,10,1450370
Other,31/01/18,10,1347670
Audiobook #2,31/01/18,10,1432550
Audiobook #5,31/01/18,8,1618860
Other,31/01/18,10,1459850
Audiobook #1,31/01/18,10,1300820
Audiobook #1,30/01/18,10,4823030
Audiobook #7,30/01/18,8,3910170
Audiobook #7,30/01/18,9,2420330
Audiobook #5,30/01/18,10,5491530
Audiobook #6,30/01/18,8,1330220
Audiobook #5,30/01/18,8,2355520
Audiobook #3,30/01/18,10,1883350
Audiobook #3,30/01/18,8,4138880
Audiobook #7,30/01/18,10,4658610
Audiobook #3,30/01/18,8,1454820
Audiobook #3,30/01/18,10,9406120
Audiobook #2,30/01/18,9,2135840
Audiobook #2,30/01/18,8,9312320
Audiobook #5,30/01/18,7,6249720
Audiobook #1,30/01/18,10,1336680
Audiobook #1,30/01/18,7,8762310
Audiobook #2,30/01/18,7,1346570
Audiobook #6,30/01/18,10,1515620
Audiobook #4,30/01/18,8,4346020
Audiobook #4,30/01/18,10,1717160
Audiobook #2,30/01/18,10,4022620
Audiobook #8,30/01/18,9,1308440
Audiobook #1,30/01/18,9,1434740
Audiobook #7,30/01/18,8,1595740
Audiobook #2,30/01/18,10,4050120
Audiobook #2,30/01/18,10,1600040
Audiobook #6,30/01/18,10,1363230
Audiobook #2,30/01/18,10,2226820
Audiobook #2,30/01/18,10,1314410
Audiobook #4,30/01/18,10,1310980
Audiobook #4,30/01/18,9,1506820
Audiobook #4,30/01/18,10,1378350
Audiobook #5,30/01/18,10,1452350
Audiobook #4,30/01/18,10,1315330
Audiobook #2,30/01/18,9,1317620
Audiobook #1,30/01/18,10,2176360
Other,30/01/18,10,1384250
Audiobook #1,30/01/18,8,1326760
Audiobook #8,30/01/18,8,1322740
Audiobook #1,30/01/18,8,1722450
Audiobook #5,30/01/18,8,1338740
Audiobook #5,30/01/18,6,2053430
Audiobook #3,30/01/18,10,1326840
Audiobook #2,30/01/18,10,1112380
Audiobook #6,30/01/18,10,2176530
Audiobook #5,30/01/18,10,1329460
Audiobook #6,30/01/18,10,2125510
Audiobook #4,30/01/18,10,1333040
Audiobook #5,30/01/18,8,4294480
Audiobook #2,30/01/18,10,4169720
Audiobook #1,30/01/18,10,2280540
Audiobook #4,30/01/18,4,8059110
Audiobook #3,30/01/18,10,1424940
Audiobook #2,30/01/18,10,1650110
Audiobook #6,30/01/18,10,2167930
Audiobook #10,30/01/18,10,1387370
Audiobook #4,29/01/18,10,1346170
Audiobook #8,29/01/18,10,1459411
Audiobook #2,29/01/18,10,1366940
Audiobook #4,29/01/18,10,2128620
Audiobook #1,29/01/18,9,1361010
Audiobook #4,29/01/18,10,3834920
Audiobook #1,29/01/18,10,4523430
Audiobook #1,29/01/18,10,1936060
Audiobook #7,29/01/18,10,1358840
Audiobook #7,29/01/18,9,1358310
Other,29/01/18,10,1355030
Audiobook #4,29/01/18,9,1531110
Audiobook #1,29/01/18,10,1404810
Audiobook #1,29/01/18,10,1360510
Audiobook #2,29/01/18,9,1383850
Audiobook #3,29/01/18,10,2251210
Audiobook #6,29/01/18,10,2099430
Audiobook #4,29/01/18,10,2220550
Audiobook #1,29/01/18,8,1297210
Audiobook #1,29/01/18,8,6657110
Audiobook #1,29/01/18,10,1562120
Audiobook #1,29/01/18,8,1415710
Audiobook #10,29/01/18,9,4548020
Audiobook #5,29/01/18,8,6050910
Audiobook #1,29/01/18,6,1416780
Audiobook #3,29/01/18,8,9092511
Audiobook #5,29/01/18,10,8086610
Audiobook #2,29/01/18,10,1459630
Audiobook #2,29/01/18,9,1771110
Audiobook #2,29/01/18,10,8249110
Audiobook #1,29/01/18,10,1716110
Audiobook #2,29/01/18,5,10948040
Audiobook #1,29/01/18,9,2039920
Audiobook #6,29/01/18,10,1096911
Other,29/01/18,10,5629120
Audiobook #1,29/01/18,9,5157860
Audiobook #3,29/01/18,8,1402120
Audiobook #10,29/01/18,10,5197240
Audiobook #10,29/01/18,10,4356930
Audiobook #1,29/01/18,9,1390870
Audiobook #2,28/01/18,10,6279810
Audiobook #1,28/01/18,9,1380350
Audiobook #2,28/01/18,10,1388510
Audiobook #2,28/01/18,10,1391220
Audiobook #2,28/01/18,8,1376940
Audiobook #6,28/01/18,10,1535590
Other,28/01/18,10,1572460
Audiobook #4,28/01/18,8,6030310
Audiobook #3,28/01/18,8,1536760
Audiobook #7,28/01/18,7,2065660
Audiobook #1,28/01/18,9,1496770
Audiobook #5,28/01/18,9,1379111
Audiobook #1,28/01/18,10,1377810
Audiobook #2,28/01/18,10,1533620
Audiobook #4,28/01/18,7,1380260
Audiobook #9,28/01/18,8,4471640
Audiobook #6,28/01/18,10,1544560
Audiobook #1,28/01/18,7,4482210
Audiobook #6,28/01/18,10,4717510
Audiobook #6,28/01/18,7,1404510
Audiobook #7,28/01/18,9,1429950
Other,28/01/18,8,1588410
Audiobook #1,28/01/18,10,1392410
Audiobook #2,28/01/18,10,4396020
Audiobook #6,28/01/18,9,7012630
Audiobook #1,28/01/18,10,1527360
Audiobook #6,28/01/18,9,2280210
Audiobook #1,28/01/18,10,1389290
Audiobook #2,28/01/18,8,7628230
Audiobook #1,28/01/18,5,2407460
Audiobook #5,28/01/18,10,1405020
Audiobook #1,28/01/18,9,1401360
Audiobook #1,28/01/18,6,1415611
Audiobook #2,28/01/18,9,1533260
Audiobook #2,27/01/18,8,1391910
Audiobook #6,27/01/18,10,1391710
Audiobook #1,27/01/18,10,1496410
Audiobook #9,27/01/18,7,2015410
Audiobook #3,27/01/18,9,4681280
Audiobook #6,27/01/18,10,2398020
Audiobook #2,27/01/18,8,1423720
Audiobook #6,27/01/18,8,1046730
Other,27/01/18,9,1438140
Audiobook #6,27/01/18,9,1608510
Audiobook #1,27/01/18,8,1713470
Audiobook #4,27/01/18,8,1457210
Audiobook #10,27/01/18,10,1397240
Audiobook #4,27/01/18,10,2203960
Other,27/01/18,10,2269940
Audiobook #7,27/01/18,10,1194520
Audiobook #2,27/01/18,10,1399730
Audiobook #2,27/01/18,3,1427410
Audiobook #7,27/01/18,10,1946320
Audiobook #4,27/01/18,10,2259310
Audiobook #5,27/01/18,8,1401660
Audiobook #1,27/01/18,9,1474711
Audiobook #1,27/01/18,8,2267520
Audiobook #4,27/01/18,10,1847370
Audiobook #6,27/01/18,8,1405810
Audiobook #4,27/01/18,10,1599311
Audiobook #4,27/01/18,10,1403630
Audiobook #3,27/01/18,10,1508170
Audiobook #1,27/01/18,10,1653280
Audiobook #4,27/01/18,10,1410580
Audiobook #1,27/01/18,10,6676970
Audiobook #6,27/01/18,10,1653990
Audiobook #2,27/01/18,7,1484810
Audiobook #1,27/01/18,9,2389730
Audiobook #7,27/01/18,8,1504940
Audiobook #1,27/01/18,10,1433090
Other,27/01/18,8,7704240
Audiobook #3,27/01/18,9,1843870
Audiobook #7,26/01/18,5,1409990
Audiobook #8,26/01/18,10,3932450
Audiobook #8,26/01/18,10,1428150
Audiobook #6,26/01/18,8,1439570
Audiobook #7,26/01/18,10,4144530
Audiobook #9,26/01/18,10,7858140
Audiobook #10,26/01/18,10,1485430
Audiobook #3,26/01/18,9,1483610
Audiobook #4,26/01/18,10,1434050
Audiobook #9,26/01/18,6,1702620
Other,26/01/18,8,5212060
Audiobook #7,26/01/18,10,1432060
Audiobook #9,26/01/18,7,1242011
Audiobook #5,26/01/18,10,1562260
Audiobook #5,26/01/18,10,2220110
Audiobook #7,26/01/18,10,1504710
Audiobook #4,26/01/18,10,4913820
Audiobook #4,26/01/18,10,1684770
Audiobook #3,26/01/18,7,1992811
Audiobook #1,26/01/18,10,1641360
Audiobook #5,26/01/18,9,1257611
Audiobook #2,26/01/18,9,2345030
Audiobook #2,26/01/18,10,1426010
Audiobook #6,26/01/18,10,1418670
Other,26/01/18,10,1588730
Audiobook #6,26/01/18,10,11258311
Audiobook #10,26/01/18,10,1444730
Audiobook #1,26/01/18,9,1432610
Audiobook #2,26/01/18,10,1905010
Audiobook #7,26/01/18,10,1423660
Other,26/01/18,10,1572210
Audiobook #6,26/01/18,10,4479810
Audiobook #1,26/01/18,10,1424311
Audiobook #3,26/01/18,9,2125270
Audiobook #1,26/01/18,10,4966290
Audiobook #7,26/01/18,10,2065260
Audiobook #3,26/01/18,10,1452520
Other,26/01/18,10,1427360
Audiobook #9,26/01/18,10,7301620
Audiobook #3,26/01/18,10,5451010
Audiobook #1,26/01/18,10,1536570
Audiobook #2,25/01/18,9,2071230
Audiobook #6,25/01/18,10,2146720
Audiobook #10,25/01/18,8,1430540
Audiobook #10,25/01/18,4,2089420
Other,25/01/18,10,1800510
Audiobook #7,25/01/18,10,2104820
Audiobook #2,25/01/18,8,2077111
Audiobook #6,25/01/18,10,1431460
Audiobook #2,25/01/18,10,1434510
Audiobook #6,25/01/18,10,1503810
Audiobook #1,25/01/18,10,1660350
Audiobook #1,25/01/18,10,4431910
Audiobook #7,25/01/18,10,4710270
Audiobook #3,25/01/18,10,2394410
Audiobook #2,25/01/18,10,1464940
Audiobook #4,25/01/18,10,1359040
Audiobook #1,25/01/18,10,2203110
Audiobook #1,25/01/18,10,7622720
Audiobook #2,25/01/18,8,1441010
Audiobook #1,25/01/18,10,2273320
Audiobook #6,25/01/18,10,6565240
Audiobook #1,25/01/18,10,1380050
Audiobook #1,25/01/18,10,1688240
Audiobook #5,25/01/18,10,3870810
Audiobook #1,25/01/18,9,2397910
Audiobook #8,25/01/18,10,1908640
Audiobook #1,25/01/18,10,1504630
Audiobook #4,25/01/18,10,4015330
Audiobook #4,25/01/18,9,1473710
Other,25/01/18,7,1458330
Audiobook #1,25/01/18,10,1993060
Audiobook #1,25/01/18,9,4697810
Audiobook #2,25/01/18,10,1508970
Audiobook #1,25/01/18,10,1448060
Audiobook #4,25/01/18,8,11168410
Audiobook #2,25/01/18,10,1841440
Audiobook #1,25/01/18,8,1618311
Audiobook #1,25/01/18,9,2197430
Audiobook #4,25/01/18,10,5168260
Audiobook #3,25/01/18,9,8673730
Audiobook #2,25/01/18,10,1453040
Audiobook #1,25/01/18,10,4004310
Audiobook #3,25/01/18,8,3859260
Audiobook #6,25/01/18,8,1497320
Audiobook #1,25/01/18,10,1489520
Audiobook #7,25/01/18,10,1457310
Audiobook #6,25/01/18,9,4280620
Audiobook #1,25/01/18,10,1124710
Audiobook #4,25/01/18,10,1509560
Other,24/01/18,2,1367440
Audiobook #3,24/01/18,10,1458260
Audiobook #6,24/01/18,9,1561350
Audiobook #3,24/01/18,6,1609010
Audiobook #4,24/01/18,10,1462810
Audiobook #1,24/01/18,10,1129710
Audiobook #6,24/01/18,8,2156410
Other,24/01/18,8,2210511
Audiobook #2,24/01/18,6,1469520
Audiobook #2,24/01/18,9,2047910
Audiobook #1,24/01/18,8,1466910
Audiobook #1,24/01/18,8,4554130
Other,24/01/18,10,3939110
Audiobook #6,24/01/18,10,1471190
Audiobook #6,24/01/18,6,1498611
Audiobook #6,24/01/18,10,1532040
Audiobook #5,24/01/18,10,3987560
Audiobook #2,24/01/18,8,1477510
Audiobook #2,24/01/18,9,2460920
Audiobook #1,24/01/18,10,8330540
Audiobook #10,24/01/18,6,1478510
Audiobook #9,24/01/18,10,1517670
Audiobook #2,24/01/18,10,1486410
Audiobook #1,24/01/18,8,1488910
Audiobook #1,24/01/18,8,3876140
Audiobook #3,24/01/18,9,4705310
Audiobook #3,24/01/18,9,5408770
Audiobook #9,24/01/18,10,4554710
Other,24/01/18,10,1663940
Audiobook #7,24/01/18,10,4233840
Audiobook #4,24/01/18,6,1509250
Audiobook #6,24/01/18,10,2131040
Audiobook #2,24/01/18,10,2247110
Audiobook #2,24/01/18,1,1489010
Audiobook #4,24/01/18,10,1490040
Audiobook #2,23/01/18,9,2053290
Audiobook #1,23/01/18,10,4063630
Audiobook #7,23/01/18,6,1490580
Audiobook #1,23/01/18,8,1542820
Audiobook #1,23/01/18,10,4831120
Audiobook #4,23/01/18,10,1492020
